Imp_B365H,Imp_B365D,Imp_B365A,Imp_BbAvH,Imp_BbAvD,Imp_BbAvA,Imp_PSCH,Imp_PSCD,Imp_PSCA,BbOU,BbAHh,BbAv_gt_2_5,BbAv_lt_2_5,HomeTeam_enc,AwayTeam_enc,Div_enc,Home_Wins_Last5,Home_Draws_Last5,Home_Losses_Last5,Away_Wins_Last5,Away_Draws_Last5,Away_Losses_Last5,Draws_Diff_Last5,Wins_Diff_Last5,Losses_Diff_Last5,FTR,FTR_enc
0.5,0.3125,0.25,0.4672897196261682,0.3174603174603174,0.2840909090909091,0.5025125628140703,0.2840909090909091,0.2336448598130841,32.0,-0.25,2.15,1.68,92,124,2,1.0,1.0,3.0,2.0,0.0,3.0,1.0,1.0,0.0,D,1
0.5235602094240838,0.303030303030303,0.238095238095238,0.5235602094240838,0.3105590062111801,0.234192037470726,0.5714285714285714,0.2680965147453083,0.1788908765652951,25.0,-0.75,2.24,1.61,79,97,2,3.0,2.0,0.0,1.0,3.0,1.0,1.0,2.0,1.0,D,1
0.3703703703703703,0.3333333333333333,0.3636363636363636,0.3745318352059925,0.334448160535117,0.3623188405797102,0.3333333333333333,0.3215434083601286,0.3636363636363636,24.0,0.0,2.43,1.53,21,136,2,2.0,0.0,3.0,2.0,2.0,1.0,2.0,0.0,2.0,H,2
0.1904761904761904,0.2777777777777778,0.5988023952095809,0.1949317738791423,0.2724795640326976,0.5988023952095809,0.1904761904761904,0.2710027100271003,0.5586592178770949,33.0,0.75,1.75,2.06,13,104,2,2.0,0.0,3.0,2.0,3.0,0.0,3.0,0.0,3.0,A,0
0.4347826086956522,0.3333333333333333,0.2941176470588235,0.4201680672268907,0.33003300330033,0.3194888178913738,0.4273504273504274,0.3058103975535168,0.2881844380403458,24.0,-0.25,2.41,1.53,111,93,2,2.0,1.0,2.0,1.0,1.0,3.0,0.0,1.0,1.0,H,2
0.4545454545454545,0.3125,0.2941176470588235,0.4385964912280702,0.3215434083601286,0.3076923076923077,0.423728813559322,0.3021148036253776,0.2949852507374631,25.0,-0.25,2.16,1.63,119,133,2,1.0,0.0,4.0,0.0,2.0,3.0,2.0,1.0,1.0,H,2
0.4761904761904761,0.3076923076923077,0.2777777777777778,0.4608294930875576,0.3205128205128205,0.2865329512893982,0.4761904761904761,0.3003003003003003,0.2444987775061124,24.0,-0.25,2.47,1.49,132,112,2,2.0,2.0,1.0,1.0,0.0,4.0,2.0,1.0,3.0,D,1
0.6369426751592356,0.2941176470588235,0.1333333333333333,0.6493506493506493,0.2732240437158469,0.1455604075691411,0.6535947712418301,0.2512562814070351,0.1156069364161849,33.0,-1.0,2.11,1.71,18,0,2,2.0,3.0,0.0,2.0,1.0,2.0,2.0,0.0,2.0,D,1
0.4761904761904761,0.303030303030303,0.2857142857142857,0.4566210045662101,0.3144654088050314,0.2976190476190476,0.4716981132075471,0.2906976744186046,0.2590673575129534,33.0,-0.25,1.97,1.82,76,80,2,1.0,3.0,1.0,4.0,1.0,0.0,2.0,3.0,1.0,D,1
0.7142857142857143,0.2222222222222222,0.125,0.7194244604316548,0.234192037470726,0.1141552511415525,0.6993006993006994,0.2197802197802197,0.10351966873706,32.0,-1.25,1.9,1.89,87,45,2,5.0,0.0,0.0,1.0,1.0,3.0,1.0,4.0,3.0,H,2
