,Imp_B365H,Imp_B365D,Imp_B365A,Imp_BbAvH,Imp_BbAvD,Imp_BbAvA,Imp_PSCH,Imp_PSCD,Imp_PSCA,BbOU,BbAHh,BbAv_gt_2_5,BbAv_lt_2_5,HomeTeam_enc,AwayTeam_enc,Div_enc,Home_Wins_Last5,Home_Draws_Last5,Home_Losses_Last5,Away_Wins_Last5,Away_Draws_Last5,Away_Losses_Last5,Draws_Diff_Last5,Wins_Diff_Last5,Losses_Diff_Last5,FTR,FTR_enc,HomeTeam,AwayTeam,Date
18291,0.26666666666666666,0.2857142857142857,0.5128205128205129,0.25510204081632654,0.2898550724637681,0.5154639175257733,0.2506265664160401,0.2710027100271003,0.5,34.0,0.5,1.71,2.13,91,190,0,1.0,0.0,1.0,3.0,2.0,0.0,-2.0,-2.0,1.0,A,0,Greuther Furth,Schalke 04,2012-09-15
18292,0.4347826086956522,0.29411764705882354,0.3333333333333333,0.4347826086956522,0.2949852507374631,0.33222591362126247,0.4444444444444444,0.2747252747252747,0.3021148036253776,33.0,-0.25,1.68,2.16,95,232,0,2.0,2.0,1.0,1.0,0.0,4.0,2.0,1.0,-3.0,H,2,Hannover,Werder Bremen,2012-09-15
18293,0.5,0.29411764705882354,0.26666666666666666,0.5102040816326531,0.2976190476190476,0.25380710659898476,0.5181347150259068,0.2824858757062147,0.2183406113537118,35.0,-0.25,2.06,1.76,133,162,0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,A,0,M'gladbach,Nurnberg,2012-09-15
18294,0.6172839506172839,0.2631578947368421,0.18181818181818182,0.6060606060606061,0.26595744680851063,0.18867924528301888,0.5847953216374269,0.2557544757033248,0.18083182640144665,33.0,-0.75,1.67,2.18,206,81,0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,3.0,D,1,Stuttgart,Fortuna Dusseldorf,2012-09-15
18295,0.5,0.29411764705882354,0.26666666666666666,0.4926108374384237,0.29239766081871343,0.273972602739726,0.5813953488372093,0.23094688221709006,0.2150537634408602,34.0,-0.5,1.89,1.91,71,94,0,2.0,0.0,3.0,0.0,2.0,3.0,-2.0,2.0,0.0,H,2,Ein Frankfurt,Hamburg,2012-09-16
18296,0.4166666666666667,0.29411764705882354,0.35714285714285715,0.41841004184100417,0.30120481927710846,0.3424657534246575,0.4504504504504504,0.2785515320334262,0.29154518950437314,34.0,-0.25,1.91,1.89,82,100,0,1.0,2.0,2.0,0.0,0.0,5.0,2.0,1.0,-3.0,H,2,Freiburg,Hoffenheim,2012-09-16
18297,0.47619047619047616,0.29411764705882354,0.29411764705882354,0.4608294930875576,0.29673590504451036,0.303951367781155,0.4587155963302752,0.2777777777777778,0.2849002849002849,34.0,-0.25,1.77,2.05,162,71,0,3.0,1.0,1.0,3.0,0.0,2.0,1.0,0.0,-1.0,A,0,Nurnberg,Ein Frankfurt,2012-09-21
18298,0.46511627906976744,0.29411764705882354,0.30303030303030304,0.4566210045662101,0.30120481927710846,0.3048780487804878,0.4098360655737705,0.2898550724637681,0.3205128205128205,34.0,-0.25,2.06,1.76,81,82,0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,-1.0,-2.0,D,1,Fortuna Dusseldorf,Freiburg,2012-09-22
18299,0.19047619047619047,0.23809523809523808,0.6369426751592356,0.17921146953405018,0.25380710659898476,0.6289308176100629,0.1529051987767584,0.21321961620469082,0.6535947712418301,33.0,1.0,1.68,2.16,94,66,0,0.0,1.0,4.0,4.0,1.0,0.0,0.0,-4.0,4.0,H,2,Hamburg,Dortmund,2012-09-22
18300,0.5780346820809249,0.2777777777777778,0.21052631578947367,0.5780346820809249,0.2808988764044944,0.20449897750511248,0.5102040816326531,0.2808988764044944,0.2304147465437788,34.0,-0.75,1.95,1.85,134,15,0,0.0,2.0,3.0,1.0,2.0,2.0,0.0,-1.0,1.0,H,2,Mainz,Augsburg,2012-09-22
